motion[0][0] = [-7, 0]
motion[0][1] = [-4, 8]
motion[0][2] = [-7, 16]
motion[0][3] = [-4, 24]
motion[0][4] = [-7, 32]
motion[0][5] = [-4, 40]
motion[0][6] = [-7, 48]
motion[0][7] = [-4, 56]
motion[0][8] = [-7, 64]
motion[0][9] = [-4, 72]
motion[0][10] = [-7, 80]
motion[0][11] = [-4, 88]
motion[0][12] = [-7, 96]
motion[0][13] = [-4, 104]
motion[0][14] = [-7, 112]
motion[0][15] = [-4, 120]
motion[0][16] = [-7, 128]
motion[0][17] = [-4, 136]
motion[0][18] = [-7, 144]
motion[0][19] = [-4, 152]
motion[0][20] = [-7, 160]
motion[0][21] = [-4, 168]
motion[0][22] = [-7, 176]
motion[0][23] = [-4, 184]
motion[1][0] = [1, 0]
motion[1][1] = [4, 8]
motion[1][2] = [1, 16]
motion[1][3] = [4, 24]
motion[1][4] = [1, 32]
motion[1][5] = [4, 40]
motion[1][6] = [1, 48]
motion[1][7] = [4, 56]
motion[1][8] = [1, 64]
motion[1][9] = [4, 72]
motion[1][10] = [1, 80]
motion[1][11] = [4, 88]
motion[1][12] = [1, 96]
motion[1][13] = [4, 104]
motion[1][14] = [1, 112]
motion[1][15] = [4, 120]
motion[1][16] = [1, 128]
motion[1][17] = [4, 136]
motion[1][18] = [1, 144]
motion[1][19] = [4, 152]
motion[1][20] = [1, 160]
motion[1][21] = [4, 168]
motion[1][22] = [1, 176]
motion[1][23] = [4, 184]
motion[2][0] = [9, 0]
motion[2][1] = [12, 8]
motion[2][2] = [9, 16]
motion[2][3] = [12, 24]
motion[2][4] = [9, 32]
motion[2][5] = [12, 40]
motion[2][6] = [9, 48]
motion[2][7] = [12, 56]
motion[2][8] = [9, 64]
motion[2][9] = [12, 72]
motion[2][10] = [9, 80]
motion[2][11] = [12, 88]
motion[2][12] = [9, 96]
motion[2][13] = [12, 104]
motion[2][14] = [9, 112]
motion[2][15] = [12, 120]
motion[2][16] = [9, 128]
motion[2][17] = [12, 136]
motion[2][18] = [9, 144]
motion[2][19] = [12, 152]
motion[2][20] = [9, 160]
motion[2][21] = [12, 168]
motion[2][22] = [9, 176]
motion[2][23] = [12, 184]
motion[3][0] = [17, 0]
motion[3][1] = [20, 8]
motion[3][2] = [17, 16]
motion[3][3] = [20, 24]
motion[3][4] = [17, 32]
motion[3][5] = [20, 40]
motion[3][6] = [17, 48]
motion[3][7] = [20, 56]
motion[3][8] = [17, 64]
motion[3][9] = [20, 72]
motion[3][10] = [17, 80]
motion[3][11] = [20, 88]
motion[3][12] = [17, 96]
motion[3][13] = [20, 104]
motion[3][14] = [17, 112]
motion[3][15] = [20, 120]
motion[3][16] = [17, 128]
motion[3][17] = [20, 136]
motion[3][18] = [17, 144]
motion[3][19] = [20, 152]
motion[3][20] = [17, 160]
motion[3][21] = [20, 168]
motion[3][22] = [17, 176]
motion[3][23] = [20, 184]
motion[4][0] = [25, 0]
motion[4][1] = [28, 8]
motion[4][2] = [25, 16]
motion[4][3] = [28, 24]
motion[4][4] = [25, 32]
motion[4][5] = [28, 40]
motion[4][6] = [25, 48]
motion[4][7] = [28, 56]
motion[4][8] = [25, 64]
motion[4][9] = [28, 72]
motion[4][10] = [25, 80]
motion[4][11] = [28, 88]
motion[4][12] = [25, 96]
motion[4][13] = [28, 104]
motion[4][14] = [25, 112]
motion[4][15] = [28, 120]
motion[4][16] = [25, 128]
motion[4][17] = [28, 136]
motion[4][18] = [25, 144]
motion[4][19] = [28, 152]
motion[4][20] = [25, 160]
motion[4][21] = [28, 168]
motion[4][22] = [25, 176]
motion[4][23] = [28, 184]
motion[5][0] = [33, 0]
motion[5][1] = [36, 8]
motion[5][2] = [33, 16]
motion[5][3] = [36, 24]
motion[5][4] = [33, 32]
motion[5][5] = [36, 40]
motion[5][6] = [33, 48]
motion[5][7] = [36, 56]
motion[5][8] = [33, 64]
motion[5][9] = [36, 72]
motion[5][10] = [33, 80]
motion[5][11] = [36, 88]
motion[5][12] = [33, 96]
motion[5][13] = [36, 104]
motion[5][14] = [33, 112]
motion[5][15] = [36, 120]
motion[5][16] = [33, 128]
motion[5][17] = [36, 136]
motion[5][18] = [33, 144]
motion[5][19] = [36, 152]
motion[5][20] = [33, 160]
motion[5][21] = [36, 168]
motion[5][22] = [33, 176]
motion[5][23] = [36, 184]
motion[6][0] = [41, 0]
motion[6][1] = [44, 8]
motion[6][2] = [41, 16]
motion[6][3] = [44, 24]
motion[6][4] = [41, 32]
motion[6][5] = [44, 40]
motion[6][6] = [41, 48]
motion[6][7] = [44, 56]
motion[6][8] = [41, 64]
motion[6][9] = [44, 72]
motion[6][10] = [41, 80]
motion[6][11] = [44, 88]
motion[6][12] = [41, 96]
motion[6][13] = [44, 104]
motion[6][14] = [41, 112]
