motion[0][0] = [-1, 0]
motion[0][1] = [-2, 16]
motion[0][2] = [-3, 32]
motion[0][3] = [-4, 48]
motion[0][4] = [-5, 64]
motion[0][5] = [-6, 80]
motion[0][6] = [-7, 96]
motion[0][7] = [-8, 112]
motion[0][8] = [-1, 128]
motion[0][9] = [-2, 144]
motion[0][10] = [-3, 160]
motion[0][11] = [-4, 176]
motion[1][0] = [11, 0]
motion[1][1] = [10, 16]
motion[1][2] = [9, 32]
motion[1][3] = [8, 48]
motion[1][4] = [15, 64]
motion[1][5] = [14, 80]
motion[1][6] = [13, 96]
motion[1][7] = [12, 112]
motion[1][8] = [11, 128]
motion[1][9] = [10, 144]
motion[1][10] = [9, 160]
motion[1][11] = [8, 176]
motion[2][0] = [31, 0]
motion[2][1] = [30, 16]
motion[2][2] = [29, 32]
motion[2][3] = [28, 48]
motion[2][4] = [27, 64]
motion[2][5] = [26, 80]
motion[2][6] = [25, 96]
motion[2][7] = [24, 112]
motion[2][8] = [31, 128]
motion[2][9] = [30, 144]
motion[2][10] = [29, 160]
motion[2][11] = [28, 176]
motion[3][0] = [43, 0]
motion[3][1] = [42, 16]
motion[3][2] = [41, 32]
motion[3][3] = [40, 48]
motion[3][4] = [47, 64]
motion[3][5] = [46, 80]
motion[3][6] = [45, 96]
motion[3][7] = [44, 112]
motion[3][8] = [43, 128]
motion[3][9] = [42, 144]
motion[3][10] = [41, 160]
motion[3][11] = [40, 176]
motion[4][0] = [63, 0]
motion[4][1] = [62, 16]
motion[4][2] = [61, 32]
motion[4][3] = [60, 48]
motion[4][4] = [59, 64]
motion[4][5] = [58, 80]
motion[4][6] = [57, 96]
motion[4][7] = [56, 112]
motion[4][8] = [63, 128]
motion[4][9] = [62, 144]
motion[4][10] = [61, 160]
motion[4][11] = [60, 176]
motion[5][0] = [75, 0]
motion[5][1] = [74, 16]
motion[5][2] = [73, 32]
motion[5][3] = [72, 48]
motion[5][4] = [79, 64]
motion[5][5] = [78, 80]
motion[5][6] = [77, 96]
motion[5][7] = [76, 112]
motion[5][8] = [75, 128]
motion[5][9] = [74, 144]
motion[5][10] = [73, 160]
motion[5][11] = [72, 176]
motion[6][0] = [95, 0]
motion[6][1] = [94, 16]
motion[6][2] = [93, 32]
motion[6][3] = [92, 48]
motion[6][4] = [91, 64]
motion[6][5] = [90, 80]
motion[6][6] = [89, 96]
motion[6][7] = [88, 112]
motion[6][8] = [95, 128]
motion[6][9] = [94, 144]
motion[6][10] = [93, 160]
motion[6][11] = [92, 176]
motion[7][0] = [107, 0]
motion[7][1] = [106, 16]
motion[7][2] = [105, 32]
motion[7][3] = [104, 48]
motion[7][4] = [111, 64]
motion[7][5] = [110, 80]
motion[7][6] = [109, 96]
motion[7][7] = [108, 112]
motion[7][8] = [107, 128]
motion[7][9] = [106, 144]
motion[7][10] = [105, 160]
motion[7][11] = [104, 176]
motion[8][0] = [127, 0]
motion[8][1] = [126, 16]
motion[8][2] = [125, 32]
motion[8][3] = [124, 48]
motion[8][4] = [123, 64]
motion[8][5] = [122, 80]
motion[8][6] = [121, 96]
motion[8][7] = [120, 112]
motion[8][8] = [127, 128]
motion[8][9] = [126, 144]
motion[8][10] = [125, 160]
motion[8][11] = [124, 176]
