motion[8][19] = [56, 152]
motion[8][20] = [57, 160]
motion[8][21] = [58, 168]
motion[8][22] = [55, 176]
motion[8][23] = [56, 184]
motion[9][0] = [65, 0]
motion[9][1] = [66, 8]
motion[9][2] = [63, 16]
motion[9][3] = [64, 24]
motion[9][4] = [65, 32]
motion[9][5] = [66, 40]
motion[9][6] = [63, 48]
motion[9][7] = [64, 56]
motion[9][8] = [65, 64]
motion[9][9] = [66, 72]
motion[9][10] = [63, 80]
motion[9][11] = [64, 88]
motion[9][12] = [65, 96]
motion[9][13] = [66, 104]
motion[9][14] = [63, 112]
motion[9][15] = [64, 120]
motion[9][16] = [65, 128]
motion[9][17] = [66, 136]
motion[9][18] = [63, 144]
motion[9][19] = [64, 152]
motion[9][20] = [65, 160]
motion[9][21] = [66, 168]
motion[9][22] = [63, 176]
motion[9][23] = [64, 184]
motion[10][0] = [73, 0]
motion[10][1] = [74, 8]
motion[10][2] = [71, 16]
motion[10][3] = [72, 24]
motion[10][4] = [73, 32]
motion[10][5] = [74, 40]
motion[10][6] = [71, 48]
motion[10][7] = [72, 56]
motion[10][8] = [73, 64]
motion[10][9] = [74, 72]
motion[10][10] = [71, 80]
motion[10][11] = [72, 88]
motion[10][12] = [73, 96]
motion[10][13] = [74, 104]
motion[10][14] = [71, 112]
motion[10][15] = [72, 120]
motion[10][16] = [73, 128]
motion[10][17] = [74, 136]
motion[10][18] = [71, 144]
motion[10][19] = [72, 152]
motion[10][20] = [73, 160]
motion[10][21] = [74, 168]
motion[10][22] = [71, 176]
motion[10][23] = [72, 184]
motion[11][0] = [81, 0]
motion[11][1] = [82, 8]
motion[11][2] = [79, 16]
motion[11][3] = [80, 24]
motion[11][4] = [81, 32]
motion[11][5] = [82, 40]
motion[11][6] = [79, 48]
motion[11][7] = [80, 56]
motion[11][8] = [81, 64]
motion[11][9] = [82, 72]
motion[11][10] = [79, 80]
motion[11][11] = [80, 88]
motion[11][12] = [81, 96]
motion[11][13] = [82, 104]
motion[11][14] = [79, 112]
motion[11][15] = [80, 120]
motion[11][16] = [81, 128]
motion[11][17] = [82, 136]
motion[11][18] = [79, 144]
motion[11][19] = [80, 152]
motion[11][20] = [81, 160]
motion[11][21] = [82, 168]
motion[11][22] = [79, 176]
motion[11][23] = [80, 184]
motion[12][0] = [89, 0]
motion[12][1] = [90, 8]
motion[12][2] = [87, 16]
motion[12][3] = [88, 24]
motion[12][4] = [89, 32]
motion[12][5] = [90, 40]
motion[12][6] = [87, 48]
motion[12][7] = [88, 56]
motion[12][8] = [89, 64]
motion[12][9] = [90, 72]
motion[12][10] = [87, 80]
motion[12][11] = [88, 88]
motion[12][12] = [89, 96]
motion[12][13] = [90, 104]
motion[12][14] = [87, 112]
motion[12][15] = [88, 120]
motion[12][16] = [89, 128]
motion[12][17] = [90, 136]
motion[12][18] = [87, 144]
motion[12][19] = [88, 152]
motion[12][20] = [89, 160]
motion[12][21] = [90, 168]
motion[12][22] = [87, 176]
motion[12][23] = [88, 184]
motion[13][0] = [97, 0]
motion[13][1] = [98, 8]
motion[13][2] = [95, 16]
motion[13][3] = [96, 24]
motion[13][4] = [97, 32]
motion[13][5] = [98, 40]
motion[13][6] = [95, 48]
motion[13][7] = [96, 56]
motion[13][8] = [97, 64]
motion[13][9] = [98, 72]
motion[13][10] = [95, 80]
motion[13][11] = [96, 88]
motion[13][12] = [97, 96]
